Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABG,Asbury Automotive Group Inc Common Stock,$194.96,-0.10,-0.051%,3770794275.00,United States,2002,175712,Consumer Services,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$9.75,0.01,0.103%,188492363.00,United States,2021,1751,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,$3.11,0.01,0.323%,44815545.00,United States,,161194,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,$47.00,0.30,0.642%,3155171382.00,United States,,214255,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,$345.88,-2.98,-0.854%,15683913381.00,United States,,238119,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$149.99,-0.33,-0.22%,89453887060.00,United States,2020,4039852,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$15.01,0.02,0.133%,580163443.00,United States,2021,76923,,
ABR,Arbor Realty Trust Common Stock,$18.36,0.03,0.164%,2609992257.00,United States,2004,979922,Consumer Services,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$25.68,0.01,0.039%,,United States,,25432,,
ABSI,Absci Corporation Common Stock,$26.85,0.81,3.111%,2476913091.00,United States,2021,185171,,
ABST,Absolute Software Corporation Common Stock,$14.11,0.06,0.427%,698594383.00,Canada,2020,16284,,
